player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Joe Burrow,2023,73.69,52.56,5,4.4,146.51,46.69,-21.13,QB
Dak Prescott,2024,70.76,44.54,4,2.9,129.0,38.16,-26.22,QB
Justin Herbert,2023,70.34,36.59,5,3.8,133.74,30.51,-33.75,QB
Lamar Jackson,2023,69.67,6.62,5,3.1,135.0,3.68,-63.05,QB
Jalen Hurts,2023,68.33,50.9,5,3.9,110.0,14.39,-17.43,QB
Jordan Love,2024,64.86,41.93,4,2.9,100.8,41.18,-22.93,QB
Trevor Lawrence,2024,64.86,35.95,5,3.7,142.0,27.59,-28.91,QB
Tua Tagovailoa,2024,62.62,36.68,4,2.8,93.17,44.57,-25.94,QB
Jared Goff,2024,62.5,59.28,4,2.3,113.61,29.14,-3.22,QB
Josh Allen,2025,59.33,77.23,6,4.3,147.0,53.72,17.9,QB
Brock Purdy,2025,57.18,29.87,5,3.0,100.0,18.17,-27.31,QB
Daniel Jones,2023,53.59,11.25,4,2.6,81.0,7.44,-42.34,QB
Kirk Cousins,2024,53.07,36.93,4,2.0,90.0,14.07,-16.14,QB
Aaron Rodgers,2023,50.24,37.78,3,2.6,75.0,33.83,-12.46,QB
Derek Carr,2023,50.24,32.14,4,1.6,60.0,40.67,-18.1,QB
Daniel Jones,2026,44.0,22.35,2,2.1,49.49,9.36,-21.65,QB
Matt Stafford,2025,43.15,54.64,2,2.3,40.0,72.45,11.49,QB
Geno Smith,2025,40.45,39.08,2,2.6,58.5,26.15,-1.37,QB
Baker Mayfield,2024,39.31,33.34,3,3.0,40.0,16.21,-5.97,QB
Sam Darnold,2025,36.14,39.56,3,3.8,37.5,32.93,3.42,QB
Geno Smith,2023,33.5,34.23,3,3.4,27.3,21.07,0.73,QB
Jimmy Garoppolo,2023,32.49,17.87,3,1.6,33.75,10.16,-14.62,QB
Malik Willis,2026,22.5,11.38,3,3.4,45.0,6.6,-11.12,QB
Justin Fields,2025,21.58,7.15,2,2.3,30.0,3.65,-14.43,QB
Jordan Love,2023,18.09,3.18,1,1.7,13.0,1.62,-14.91,QB
Daniel Jones,2025,15.1,4.58,1,1.5,13.15,2.44,-10.52,QB
Gardner Minshew,2024,14.74,11.47,2,1.6,15.0,5.23,-3.27,QB
Aaron Rodgers,2025,14.73,28.32,1,1.7,10.0,10.44,13.59,QB
Sam Darnold,2024,11.79,5.98,1,1.5,8.75,1.52,-5.81,QB
Russell Wilson,2025,11.33,13.65,1,2.0,10.0,7.72,2.32,QB
Jacoby Brissett,2023,10.72,12.15,1,1.6,7.5,3.82,1.43,QB
Jacoby Brissett,2024,9.43,8.64,1,2.0,6.5,5.82,-0.79,QB
Taylor Heinicke,2023,9.38,19.21,2,1.7,6.32,10.26,9.83,QB
Marcus Mariota,2025,8.63,10.66,1,1.8,7.39,4.78,2.03,QB
Davis Mills,2025,7.55,2.72,1,1.2,10.25,0.32,-4.83,QB
Mitchell Trubisky,2023,7.54,10.85,2,1.8,6.92,9.32,3.31,QB
Tyrod Taylor,2024,7.08,11.76,2,1.7,8.5,3.54,4.68,QB
Marcus Mariota,2024,7.08,4.69,1,1.2,5.39,2.61,-2.39,QB
Marcus Mariota,2026,7.0,18.5,1,1.9,6.39,15.72,11.5,QB
Jacoby Brissett,2025,6.74,4.37,2,1.2,6.5,3.54,-2.37,QB
Andy Dalton,2023,6.7,16.99,2,1.1,8.0,12.85,10.29,QB
Marcus Mariota,2023,6.7,20.81,1,2.7,5.0,6.3,14.11,QB
Jarrett Stidham,2023,6.7,4.0,2,2.0,5.0,1.08,-2.7,QB
Zach Wilson,2025,6.47,5.92,1,2.0,6.0,2.15,-0.55,QB
Jarrett Stidham,2025,6.47,3.96,2,1.5,6.99,1.29,-2.51,QB
Sam Darnold,2023,6.03,2.36,1,1.4,3.5,1.1,-3.67,QB
Joe Flacco,2026,6.0,6.62,1,1.0,4.0,2.69,0.62,QB
Drew Lock,2024,5.9,4.06,1,1.5,4.95,1.24,-1.84,QB
Gardner Minshew,2026,5.75,1.16,1,1.0,5.14,-0.03,-4.59,QB
Tyson Bagent,2025,5.39,1.8,2,1.5,2.53,0.54,-3.59,QB
Jameis Winston,2023,5.36,7.78,1,1.6,4.0,1.34,2.42,QB
Drew Lock,2023,5.36,5.63,1,1.8,1.75,3.17,0.27,QB
Baker Mayfield,2023,5.36,8.18,1,1.3,4.0,2.74,2.82,QB
Mike White,2023,5.36,5.05,2,1.3,4.5,0.64,-0.31,QB
Joe Flacco,2024,5.31,3.56,1,1.4,4.5,2.25,-1.75,QB
Mitchell Trubisky,2026,5.25,7.2,2,1.8,6.82,3.89,1.95,QB
Davis Mills,2024,4.79,8.43,2,1.5,6.32,0.47,3.64,QB
Jameis Winston,2024,4.72,3.66,1,1.2,4.0,2.61,-1.06,QB
Gardner Minshew,2023,4.69,3.25,1,2.2,3.5,0.77,-1.44,QB
Joe Flacco,2025,4.58,10.57,1,1.6,3.0,8.58,5.99,QB
Andy Dalton,2025,4.32,5.11,2,1.3,6.0,2.24,0.79,QB
Joshua Dobbs,2025,4.32,3.86,2,1.5,3.8,1.19,-0.46,QB
Jameis Winston,2025,4.32,10.19,2,1.3,5.25,4.02,5.87,QB
Case Keenum,2023,4.19,3.93,2,1.2,4.0,3.0,-0.26,QB
Mason Rudolph,2025,4.05,11.2,2,2.0,3.0,7.63,7.15,QB
Teddy Bridgewater,2023,4.02,5.2,1,1.3,2.55,4.6,1.18,QB
Kenny Pickett,2026,4.0,2.96,1,1.8,4.0,0.47,-1.04,QB
Mac Jones,2025,3.78,8.57,2,2.2,4.75,7.19,4.79,QB
Jimmy Garoppolo,2024,3.75,7.48,1,1.8,3.18,13.03,3.73,QB
Tyler Huntley,2023,3.52,1.38,1,1.4,0.0,0.15,-2.14,QB
Andy Dalton,2026,3.5,2.96,1,1.1,3.5,0.98,-0.54,QB
Mason Rudolph,2024,3.38,3.07,1,1.6,2.7,0.4,-0.31,QB
Cooper Rush,2023,3.35,1.72,2,1.2,2.75,0.29,-1.63,QB
Cooper Rush,2025,3.34,11.41,2,1.6,4.0,3.71,8.07,QB
Geno Smith,2026,3.3,6.86,1,1.8,3.3,4.81,3.56,QB
Jimmy Garoppolo,2025,3.24,4.57,1,1.2,3.0,1.41,1.33,QB
Easton Stick,2024,3.15,3.52,1,1.3,1.41,2.18,0.37,QB
Mitchell Trubisky,2024,3.1,5.5,2,1.4,2.71,2.44,2.4,QB
Brian Hoyer,2023,3.01,2.37,2,1.4,4.2,1.28,-0.64,QB
C.J. Beathard,2023,3.01,2.55,2,1.3,2.0,1.1,-0.46,QB
Kyle Trask,2025,3.01,10.4,1,3.5,1.34,7.7,7.39,QB
Carson Wentz,2026,3.0,6.57,1,1.6,2.64,2.82,3.57,QB
Taylor Heinicke,2024,2.98,9.81,1,1.7,1.32,4.82,6.83,QB
Carson Wentz,2024,2.95,5.02,1,1.7,2.2,2.78,2.07,QB
Joe Flacco,2023,2.95,3.02,1,1.3,0.4,2.47,0.07,QB
Drew Lock,2025,2.7,5.68,2,1.5,2.25,4.08,2.98,QB
Taylor Heinicke,2025,2.7,2.15,1,1.1,2.0,1.87,-0.55,QB
Phillip Walker,2023,2.68,1.71,2,1.1,2.01,0.3,-0.97,QB
Joshua Dobbs,2023,2.68,2.21,1,1.0,2.0,0.38,-0.47,QB
Nick Mullens,2023,2.68,3.78,2,1.6,1.92,2.35,1.1,QB
Joshua Dobbs,2024,2.65,6.33,1,1.5,2.25,4.34,3.68,QB
Sam Howell,2026,2.5,4.89,1,1.9,2.5,3.21,2.39,QB
Tyler Huntley,2026,2.5,3.14,2,1.8,3.5,1.46,0.64,QB
Trey Lance,2026,2.5,3.14,1,1.3,2.0,1.49,0.64,QB
Case Keenum,2025,2.43,2.5,1,1.1,2.15,0.43,0.07,QB
Nick Mullens,2025,2.43,1.19,2,1.7,3.0,0.44,-1.24,QB
Easton Stick,2023,2.41,1.83,1,1.2,1.15,0.2,-0.58,QB
Nick Mullens,2024,2.24,5.42,1,2.0,0.0,2.64,3.18,QB
Trey Lance,2025,2.16,5.49,1,1.7,1.5,1.37,3.33,QB
Nate Sudfeld,2023,2.14,2.64,1,1.2,1.0,1.32,0.5,QB
Kyle Allen,2026,2.05,1.3,2,1.2,1.8,0.22,-0.75,QB
Josh Johnson,2023,1.77,1.36,1,1.1,0.15,0.47,-0.41,QB
Trevor Siemian,2023,1.77,2.55,1,1.2,0.15,0.51,0.78,QB
Blaine Gabbert,2023,1.77,3.18,1,1.6,1.09,0.74,1.41,QB
Carson Wentz,2023,1.76,14.38,1,2.6,0.15,9.75,12.62,QB
Kyle Allen,2023,1.65,2.53,1,1.1,0.35,0.61,0.88,QB
Nathan Peterman,2023,1.65,1.47,1,1.0,0.15,0.15,-0.18,QB
David Blough,2023,1.65,2.55,1,1.2,0.08,0.02,0.9,QB
Brandon Allen,2023,1.65,1.52,1,1.2,0.2,0.18,-0.13,QB
Tim Boyle,2023,1.55,1.13,1,1.0,0.08,0.05,-0.42,QB
Feleipe Franks,2025,1.55,1.46,1,1.1,0.2,-0.0,-0.09,QB
C.J. Beathard,2024,1.54,3.4,1,1.6,0.1,3.09,1.86,QB
Josh Johnson,2025,1.53,2.85,1,1.2,0.04,2.38,1.32,QB
Brandon Allen,2025,1.53,1.39,1,1.0,1.0,0.18,-0.14,QB
Carson Wentz,2025,1.53,3.63,1,1.2,0.17,2.94,2.1,QB
Jeff Driskel,2023,1.53,2.63,1,1.3,0.06,0.97,1.1,QB
Tyler Huntley,2024,1.52,3.72,1,1.5,0.47,1.54,2.2,QB
Kyle Allen,2024,1.52,3.06,1,1.5,0.17,0.7,1.54,QB
Nathan Peterman,2024,1.52,2.45,1,1.1,0.08,0.48,0.93,QB
Josh Johnson,2026,1.5,1.89,1,1.2,0.2,0.92,0.39,QB
Mason Rudolph,2023,1.45,4.1,1,1.2,0.0,4.04,2.65,QB
Trace McSorley,2023,1.45,2.03,1,1.2,0.0,0.43,0.58,QB
Brett Rypien,2023,1.45,1.2,1,1.0,0.0,0.1,-0.25,QB
Sam Ehlinger,2025,1.44,0.71,1,1.3,0.47,0.5,-0.73,QB
Russell Wilson,2024,1.43,31.35,1,2.8,1.21,20.0,29.92,QB
Teddy Bridgewater,2024,1.43,4.52,1,1.2,0.0,2.91,3.09,QB
Zach Wilson,2026,1.4,3.15,1,1.2,0.6,1.86,1.75,QB
Mike White,2024,1.37,1.64,2,1.5,0.0,1.13,0.27,QB
Kyle Allen,2025,1.37,0.89,1,1.4,0.1,0.24,-0.48,QB
Tim Boyle,2024,1.36,0.77,1,1.1,0.0,-0.02,-0.59,QB
Jeff Driskel,2024,1.36,0.88,1,1.1,0.15,0.05,-0.48,QB
Philip Rivers,2025,1.35,36.35,1,1.4,0.0,17.91,35.0,QB
Phillip Walker,2024,1.35,1.88,1,1.2,0.0,0.33,0.53,QB
Chris Streveler,2023,1.35,1.42,1,1.0,0.0,0.26,0.07,QB
John Wolford,2023,1.35,0.99,1,1.0,0.0,-0.05,-0.36,QB
Tim Boyle,2025,1.35,1.23,1,1.1,0.0,0.04,-0.12,QB
Logan Woodside,2024,1.33,0.93,1,1.3,0.0,0.15,-0.4,QB
Brett Rypien,2024,1.33,0.93,1,1.1,0.0,-0.03,-0.4,QB
Daniel Jones,2024,1.33,8.39,1,2.4,0.0,2.94,7.06,QB
Jake Browning,2026,1.33,1.48,1,1.5,0.4,0.15,0.15,QB
Bailey Zappe,2023,1.32,1.17,3,1.4,0.0,0.32,-0.15,QB
Kyler Murray,2026,1.3,39.83,1,3.1,0.0,10.58,38.53,QB
Tyler Huntley,2025,1.26,1.81,1,1.2,0.0,0.27,0.55,QB
Mike White,2025,1.26,0.84,1,1.1,0.0,-0.0,-0.42,QB
Jacob Eason,2023,1.26,1.03,1,1.2,0.0,-0.04,-0.23,QB
Gardner Minshew,2025,1.26,7.28,1,1.2,0.0,1.19,6.02,QB
Desmond Ridder,2025,1.25,1.57,2,1.1,0.0,0.07,0.32,QB
Tua Tagovailoa,2026,1.22,33.4,1,2.2,0.0,22.96,32.18,QB
Bailey Zappe,2025,1.19,1.12,1,1.1,0.4,-0.02,-0.07,QB
Skylar Thompson,2025,1.19,1.39,1,1.3,0.0,0.33,0.2,QB
Clayton Tune,2025,1.17,3.32,2,1.3,0.0,0.43,2.15,QB
Bailey Zappe,2024,1.16,1.66,1,1.1,0.0,0.44,0.5,QB
Feleipe Franks,2024,1.16,2.46,1,1.4,0.0,0.05,1.3,QB
Desmond Ridder,2024,1.16,6.48,1,1.6,0.0,1.75,5.32,QB
Jake Browning,2024,1.15,8.67,2,1.9,0.0,1.85,7.52,QB
Shane Buechele,2026,1.15,1.69,1,1.1,0.05,0.18,0.54,QB
Jaren Hall,2024,1.15,1.21,2,1.1,0.0,-0.03,0.06,QB
Bryce Perkins,2025,1.11,1.41,1,1.1,0.0,0.42,0.3,QB
Jake Haener,2025,1.11,2.27,1,1.2,0.0,0.4,1.16,QB
Sean Clifford,2024,1.11,1.75,2,1.4,0.0,0.47,0.64,QB
Hendon Hooker,2025,1.11,3.3,1,1.3,0.0,0.65,2.19,QB
Tommy DeVito,2025,1.11,3.27,1,1.1,0.0,0.13,2.16,QB
Chris Oladokun,2025,1.0,1.9,2,1.2,0.0,0.27,0.9,QB
Adrian Martinez,2026,1.0,1.57,1,1.2,0.0,0.01,0.57,QB
Malik Cunningham,2026,1.0,1.46,1,1.1,0.0,-0.01,0.46,QB
Trevor Siemian,2024,0.36,1.87,1,1.3,0.0,0.43,1.51,QB
Kellen Mond,2023,0.29,2.2,1,1.4,0.0,0.32,1.91,QB
Anthony Brown,2023,0.29,0.97,1,1.0,0.0,-0.02,0.68,QB
Ian Book,2023,0.29,0.88,1,1.1,0.0,0.01,0.59,QB
Skylar Thompson,2024,0.27,1.88,1,1.4,0.0,0.72,1.61,QB
Malik Cunningham,2024,0.27,1.45,1,1.0,0.0,0.17,1.18,QB
Brandon Allen,2026,0.0,1.32,1,1.0,0.0,-0.08,1.32,QB
Kirk Cousins,2026,0.0,25.42,3,2.6,0.0,9.68,25.42,QB
Teddy Bridgewater,2026,0.0,1.61,1,1.1,0.0,0.31,1.61,QB
Ja'Marr Chase,2025,43.42,41.27,4,3.3,73.9,54.64,-2.15,WR
Jaxon Smith-Njigba,2026,42.15,25.24,4,3.6,69.13,25.31,-16.91,WR
Justin Jefferson,2024,41.28,36.14,4,3.8,88.74,51.38,-5.14,WR
CeeDee Lamb,2024,40.1,36.75,4,4.4,67.0,39.34,-3.35,WR
A.J. Brown,2024,37.74,31.46,3,3.2,51.0,37.45,-6.28,WR
D.K. Metcalf,2025,35.6,19.41,4,2.2,60.0,16.1,-16.19,WR
Tyreek Hill,2024,35.38,22.28,3,3.3,54.0,26.97,-13.1,WR
Amon-Ra St. Brown,2024,35.38,32.88,4,3.5,34.67,26.96,-2.5,WR
Brandon Aiyuk,2024,35.38,33.81,4,3.7,45.0,38.5,-1.57,WR
Garrett Wilson,2025,35.06,29.19,4,3.3,38.32,30.18,-5.87,WR
Jaylen Waddle,2024,33.32,17.16,3,3.1,35.98,21.87,-16.16,WR
D.J. Moore,2024,32.43,26.52,4,3.1,43.65,21.02,-5.91,WR
Terry McLaurin,2025,31.29,31.46,3,3.2,44.65,29.66,0.17,WR
Tee Higgins,2025,31.02,13.45,4,2.8,30.0,11.73,-17.57,WR
DeVonta Smith,2024,29.48,33.32,3,3.6,34.0,34.84,3.84,WR
Jameson Williams,2025,28.77,3.34,3,1.6,30.58,2.79,-25.43,WR
Nico Collins,2024,28.6,21.2,3,3.0,32.12,5.63,-7.4,WR
Alec Pierce,2026,28.5,24.25,4,2.7,60.0,21.36,-4.25,WR
"Michael Pittman, Jr.",2024,27.52,23.66,3,3.1,41.0,28.69,-3.86,WR
George Pickens,2026,27.3,34.98,1,3.4,0.0,28.83,7.68,WR
Calvin Ridley,2024,27.12,8.49,4,2.5,46.98,3.66,-18.63,WR
Stefon Diggs,2024,26.56,16.92,1,2.8,22.02,19.57,-9.64,WR
Tee Higgins,2024,25.73,21.05,1,2.7,21.82,13.06,-4.68,WR
Courtland Sutton,2025,24.81,13.24,4,2.7,40.0,8.82,-11.57,WR
Mike Evans,2024,24.18,31.02,2,2.6,29.0,29.03,6.84,WR
Chris Godwin,2025,23.73,11.03,3,1.9,44.0,4.67,-12.7,WR
Davante Adams,2025,23.73,32.13,2,3.1,26.0,29.99,8.4,WR
Stefon Diggs,2025,22.83,8.0,3,1.3,16.6,4.65,-14.83,WR
Jakobi Meyers,2025,21.58,14.13,3,2.6,30.0,8.82,-7.45,WR
Jerry Jeudy,2024,20.64,15.09,3,2.3,41.0,14.73,-5.55,WR
Odell Beckham Jr.,2023,20.1,4.72,1,1.2,15.0,1.39,-15.38,WR
Tyler Lockett,2024,17.69,15.73,2,3.0,12.66,14.9,-1.96,WR
Calvin Ridley,2026,17.62,13.53,2,1.3,12.49,4.78,-4.09,WR
Wan'Dale Robinson,2026,17.5,21.61,4,3.1,38.0,22.67,4.11,WR
"Michael Pittman, Jr.",2026,17.5,9.36,2,1.9,24.0,5.34,-8.14,WR
DeAndre Hopkins,2023,17.42,8.93,2,1.7,10.98,7.59,-8.49,WR
Romeo Doubs,2026,17.0,14.13,4,2.5,35.0,11.9,-2.87,WR
Rashid Shaheed,2026,17.0,5.68,3,1.5,23.0,2.16,-11.32,WR
Courtland Sutton,2024,16.22,8.99,2,2.4,0.0,8.89,-7.23,WR
Cooper Kupp,2025,16.18,9.17,3,1.6,17.5,11.78,-7.01,WR
Gabriel Davis,2024,15.33,16.5,3,1.9,24.0,13.6,1.17,WR
Darnell Mooney,2024,15.33,5.13,3,1.5,26.0,5.21,-10.2,WR
Allen Lazard,2023,14.74,9.5,4,2.3,22.0,5.13,-5.24,WR
Jakobi Meyers,2023,14.74,9.86,3,2.8,16.0,8.06,-4.88,WR
Khalil Shakir,2025,14.29,14.2,4,2.9,18.1,8.42,-0.09,WR
Mike Evans,2026,14.17,7.09,3,1.3,14.3,2.11,-7.08,WR
Brandin Cooks,2023,13.4,12.55,2,2.0,12.0,10.99,-0.85,WR
Michael Thomas,2023,13.4,4.92,1,1.8,6.26,1.69,-8.48,WR
Rashod Bateman,2025,13.22,11.81,3,2.3,16.5,7.26,-1.41,WR
Darius Slayton,2025,12.95,4.65,3,1.5,22.0,1.92,-8.3,WR
Christian Watson,2025,11.87,5.37,1,1.5,6.07,2.72,-6.5,WR
Mike Williams,2024,11.79,7.99,1,1.2,8.3,3.38,-3.8,WR
Jalen Nailor,2026,11.68,5.66,3,2.2,18.0,1.47,-6.02,WR
JuJu Smith-Schuster,2023,11.39,10.81,3,3.2,16.0,12.13,-0.58,WR
Russell Gage,2023,11.39,4.56,2,1.5,7.0,2.29,-6.83,WR
Adam Thielen,2023,11.17,8.52,3,1.3,14.0,4.9,-2.65,WR
Dyami Brown,2025,10.79,2.97,1,1.4,9.5,1.52,-7.82,WR
Tutu Atwell,2025,10.79,3.09,1,1.7,10.0,2.59,-7.7,WR
Josh Palmer,2025,10.79,6.93,3,1.9,15.0,4.18,-3.86,WR
Robert Woods,2023,10.22,5.51,2,1.3,10.0,2.11,-4.71,WR
Allen Robinson,2023,10.05,3.41,2,1.4,5.0,1.58,-6.64,WR
Adam Thielen,2025,9.44,6.41,1,1.7,1.5,1.85,-3.03,WR
Curtis Samuel,2024,9.43,5.73,3,1.3,14.02,1.71,-3.7,WR
Marquise Brown,2024,8.26,16.47,1,2.8,6.5,27.75,8.21,WR
Darius Slayton,2023,8.04,8.24,2,2.4,4.9,3.81,0.2,WR
Kendrick Bourne,2024,7.67,3.84,3,1.5,5.5,1.62,-3.83,WR
Rashod Bateman,2024,7.59,1.84,2,1.2,4.5,1.23,-5.75,WR
Marquise Brown,2025,7.55,2.45,1,1.0,6.5,0.39,-5.1,WR
Jahan Dotson,2026,7.5,3.06,2,1.4,10.0,1.39,-4.44,WR
Darius Slayton,2024,7.31,10.23,1,2.8,0.0,7.16,2.92,WR
DeVante Parker,2023,7.24,7.55,2,2.5,9.1,5.39,0.31,WR
Kalif Raymond,2023,7.03,4.36,2,1.5,8.15,1.94,-2.67,WR
Brandin Cooks,2025,7.01,2.87,2,1.1,7.75,0.32,-4.14,WR
Jauan Jennings,2024,7.01,1.66,2,1.2,8.44,0.12,-5.35,WR
D.J. Chark,2023,6.7,4.8,1,1.3,5.0,2.65,-1.9,WR
Cedrick Wilson Jr.,2023,6.7,2.72,1,1.2,5.0,0.38,-3.98,WR
Deonte Harty,2023,6.36,2.24,2,1.2,4.75,0.65,-4.12,WR
Parris Campbell,2023,6.3,5.23,1,2.1,2.9,2.14,-1.07,WR
Tyquan Thornton,2026,5.5,2.97,2,1.2,7.4,0.59,-2.53,WR
DeAndre Hopkins,2025,5.39,8.15,1,1.2,5.0,3.19,2.76,WR
Mecole Hardman,2023,5.36,5.96,1,2.6,3.58,2.42,0.6,WR
Josh Reynolds,2024,5.31,5.47,2,1.4,4.24,2.85,0.16,WR
Devin Duvernay,2024,5.01,1.59,2,1.7,5.7,0.55,-3.42,WR
Kendrick Bourne,2026,5.0,2.8,2,1.1,6.5,1.05,-2.2,WR
Marquise Brown,2026,5.0,5.71,1,1.3,5.0,1.85,0.71,WR
Kavontae Turpin,2025,4.85,3.99,3,1.5,5.0,0.89,-0.86,WR
Ashton Dulin,2023,4.82,2.63,2,1.2,3.5,0.73,-2.19,WR
K.J. Osborn,2024,4.72,4.05,1,1.4,3.18,0.73,-0.67,WR
Demarcus Robinson,2024,4.72,2.33,1,1.1,4.0,0.47,-2.39,WR
Noah Brown,2024,4.72,3.87,1,1.4,3.0,1.95,-0.85,WR
Braxton Berrios,2023,4.69,2.4,1,1.3,3.0,0.68,-2.29,WR
Mack Hollins,2025,4.53,3.58,2,1.2,3.5,1.26,-0.95,WR
Olamide Zaccheaus,2026,4.5,2.79,1,1.2,2.3,0.86,-1.71,WR
Nelson Agholor,2024,4.42,3.8,1,1.0,3.75,1.55,-0.62,WR
Nelson Agholor,2023,4.35,5.15,1,1.1,3.25,1.73,0.8,WR
Kalif Raymond,2025,4.32,2.72,1,1.3,3.33,0.72,-1.6,WR
Demarcus Robinson,2025,4.32,3.82,2,1.3,6.0,1.38,-0.5,WR
Marquez Valdes-Scantling,2025,4.32,2.99,1,1.3,3.0,1.23,-1.33,WR
Tyler Lockett,2025,4.32,6.56,1,1.3,3.49,2.23,2.24,WR
Marvin Jones,2023,4.02,4.48,1,1.4,3.0,1.69,0.46,WR
Randall Cobb,2023,4.02,3.77,1,1.3,0.25,1.07,-0.25,WR
Amari Cooper,2025,3.78,13.16,1,1.9,3.5,14.27,9.38,WR
