player,next_year_signed,Actual_APY,Pred_APY,Actual_Years,Pred_Years,Actual_Guar,Pred_Guar,APY_Error,position
Rashid Shaheed,2024,3.65,7.4,2,1.7,1.0,3.56,3.75,WR
Odell Beckham Jr.,2024,3.54,7.3,1,1.1,3.0,2.0,3.76,WR
D.J. Chark,2024,3.54,4.19,1,1.2,2.06,1.74,0.65,WR
Greg Dortch,2025,3.52,2.72,1,1.8,0.0,0.63,-0.8,WR
Jake Bobo,2026,3.52,1.15,1,1.1,0.0,0.02,-2.37,WR
Noah Brown,2025,3.51,2.55,1,1.1,2.47,0.33,-0.96,WR
Ashton Dulin,2025,3.51,2.41,2,1.5,2.94,0.59,-1.1,WR
Kalif Raymond,2026,3.5,2.89,1,1.3,3.0,0.64,-0.61,WR
Noah Brown,2023,3.48,3.59,1,1.5,2.25,1.27,0.11,WR
Cedrick Wilson Jr.,2024,3.39,2.52,2,1.1,2.85,0.51,-0.87,WR
Mack Hollins,2023,3.35,6.62,1,1.8,0.91,3.13,3.27,WR
Keenan Allen,2025,3.26,17.92,1,2.5,2.26,9.0,14.66,WR
Mike Williams,2025,3.24,2.45,1,1.0,3.0,0.39,-0.79,WR
Trent Sherfield,2025,3.24,1.97,2,1.1,3.25,0.4,-1.27,WR
Nick Westbrook-Ikhine,2025,3.23,3.89,2,1.0,3.2,1.0,0.66,WR
Mack Hollins,2024,3.07,2.07,1,1.0,1.1,0.42,-1.0,WR
Zach Pascal,2023,3.01,2.09,2,1.2,1.5,0.57,-0.92,WR
Darnell Mooney,2026,3.0,6.09,1,1.4,3.0,3.42,3.09,WR
Christian Kirk,2026,3.0,5.61,1,1.4,2.78,1.36,2.61,WR
Josh Reynolds,2025,2.97,2.01,1,1.0,2.0,0.39,-0.96,WR
KhaDarel Hodge,2025,2.97,1.47,2,1.0,2.5,0.16,-1.5,WR
Ray-Ray McCloud,2024,2.95,2.7,2,1.3,2.12,0.43,-0.25,WR
Tyler Boyd,2024,2.83,15.79,1,2.2,1.2,6.79,12.96,WR
Justin Watson,2025,2.7,2.64,2,1.2,3.0,0.84,-0.06,WR
Allen Lazard,2025,2.7,4.44,1,1.4,1.75,2.12,1.74,WR
Tim Patrick,2025,2.7,2.99,1,1.2,2.5,0.6,0.29,WR
Elijah Moore,2025,2.7,3.3,1,1.5,2.5,2.21,0.6,WR
Zay Jones,2024,2.65,3.57,1,1.2,1.15,1.25,0.92,WR
Marquez Valdes-Scantling,2024,2.65,4.05,1,1.6,2.25,2.08,1.4,WR
Zay Jones,2025,2.59,1.55,1,1.1,1.3,0.28,-1.04,WR
Braxton Berrios,2024,2.54,2.14,1,1.1,1.2,0.42,-0.4,WR
Skyy Moore,2026,2.5,2.84,1,2.0,1.0,0.26,0.34,WR
Bennett Skowronek,2025,2.43,1.13,2,1.1,1.08,0.08,-1.3,WR
Trent Sherfield,2023,2.37,2.99,1,1.4,0.75,1.29,0.62,WR
Nick Westbrook-Ikhine,2024,2.36,2.77,1,1.3,0.75,0.76,0.41,WR
Brandon Powell,2024,2.36,2.13,1,1.3,0.62,0.49,-0.23,WR
Chris Moore,2024,2.36,2.3,1,1.4,0.75,0.98,-0.06,WR
Treylon Burks,2026,2.35,1.77,1,1.1,0.4,0.02,-0.58,WR
Justin Watson,2023,2.28,2.48,2,1.4,1.3,0.28,0.2,WR
Marquise Goodwin,2023,2.28,2.6,1,1.1,0.4,0.76,0.32,WR
Tylan Wallace,2025,2.27,3.02,1,2.1,1.35,0.3,0.75,WR
Hunter Renfrow,2025,2.16,5.39,1,1.1,0.83,1.02,3.23,WR
Rondale Moore,2025,2.16,1.47,1,1.2,0.25,1.31,-0.69,WR
Robert Woods,2025,2.16,2.62,1,1.0,0.74,0.24,0.46,WR
Trent Sherfield,2024,2.11,1.86,1,1.1,1.0,0.34,-0.25,WR
Julio Jones,2023,2.1,3.2,1,1.1,0.0,0.76,1.1,WR
Michael Gallup,2024,2.06,5.53,1,1.4,0.83,2.46,3.47,WR
Tim Jones,2025,2.02,1.45,1,1.1,0.5,0.13,-0.57,WR
Steven Sims,2023,2.01,1.38,1,1.1,0.5,0.05,-0.63,WR
DeAndre Carter,2023,2.01,4.12,1,1.4,1.25,1.14,2.11,WR
Braxton Berrios,2025,1.94,1.56,1,1.4,0.3,0.27,-0.38,WR
John Metchie III,2026,1.9,2.64,1,1.2,1.0,0.55,0.74,WR
Kendrick Bourne,2025,1.9,2.31,1,1.0,1.25,0.39,0.41,WR
Simi Fehoko,2025,1.89,1.31,1,1.1,1.25,0.04,-0.58,WR
Gunner Olszewski,2023,1.88,2.11,1,1.3,0.0,0.68,0.23,WR
Devin Duvernay,2026,1.85,1.31,1,1.1,0.55,0.05,-0.54,WR
Chris Conley,2024,1.83,1.09,1,1.1,0.46,-0.03,-0.74,WR
Van Jefferson,2025,1.8,2.01,1,1.2,1.17,0.24,0.21,WR
Dareke Young,2026,1.8,2.57,1,1.4,0.8,0.09,0.77,WR
Damiere Byrd,2023,1.77,2.67,1,1.2,0.15,0.61,0.9,WR
Chris Moore,2023,1.77,4.21,1,1.7,1.0,2.05,2.44,WR
Sterling Shepard,2023,1.77,2.28,1,1.0,0.0,0.44,0.51,WR
Jamison Crowder,2023,1.77,2.2,1,1.1,0.03,0.35,0.43,WR
Robbie Chosen,2023,1.77,6.25,1,1.2,0.15,1.62,4.48,WR
Trenton Irwin,2024,1.77,3.31,1,1.1,0.25,0.96,1.54,WR
Chris Conley,2023,1.77,1.19,1,1.1,0.4,0.04,-0.58,WR
Dyami Brown,2026,1.75,3.05,1,1.2,0.25,0.73,1.3,WR
Nick Westbrook-Ikhine,2023,1.69,3.41,1,1.3,0.4,0.43,1.72,WR
Ihmir Smith-Marsette,2024,1.66,1.1,1,1.3,0.4,0.02,-0.56,WR
Brandon Powell,2023,1.65,1.62,1,1.6,0.28,0.27,-0.03,WR
Richie James,2023,1.65,3.78,1,1.4,0.55,1.17,2.13,WR
Jalen Guyton,2023,1.65,1.26,1,1.3,0.08,0.04,-0.39,WR
Olamide Zaccheaus,2023,1.65,6.07,1,1.8,0.65,4.27,4.42,WR
Dante Pettis,2023,1.65,2.03,1,1.1,0.15,0.17,0.38,WR
Cam Sims,2023,1.65,1.92,1,1.2,0.3,0.38,0.27,WR
Keelan Cole,2023,1.65,1.59,1,1.1,0.08,0.29,-0.06,WR
Scott Miller,2023,1.65,2.08,1,1.3,0.15,0.45,0.43,WR
Trent Taylor,2023,1.65,1.65,1,1.2,0.05,0.25,-0.0,WR
Isaiah McKenzie,2023,1.65,3.94,1,1.3,0.4,2.47,2.29,WR
Isaiah McKenzie,2024,1.62,1.31,1,1.2,0.08,0.09,-0.31,WR
Mecole Hardman,2025,1.62,1.44,1,1.1,0.15,0.05,-0.18,WR
Sterling Shepard,2025,1.62,1.84,1,1.1,0.5,0.28,0.22,WR
Sterling Shepard,2024,1.62,1.8,1,1.1,0.05,0.31,0.18,WR
Olamide Zaccheaus,2025,1.62,4.77,1,1.7,0.75,1.71,3.15,WR
Jeff Smith,2023,1.61,1.67,1,1.1,0.0,0.1,0.06,WR
KhaDarel Hodge,2023,1.61,1.88,1,1.1,0.0,0.17,0.27,WR
Breshad Perriman,2023,1.56,2.1,1,1.1,0.0,0.62,0.54,WR
Demarcus Robinson,2023,1.56,3.47,1,1.2,0.0,0.82,1.91,WR
Phillip Dorsett,2023,1.56,1.95,1,1.1,0.0,0.3,0.39,WR
Adam Humphries,2023,1.56,3.23,1,1.3,0.0,1.98,1.67,WR
Laquon Treadwell,2023,1.56,1.08,1,1.0,0.0,-0.08,-0.48,WR
Cole Beasley,2023,1.56,1.44,1,1.0,0.0,0.08,-0.12,WR
Steven Sims,2024,1.56,1.31,1,1.3,0.08,0.11,-0.25,WR
Allen Robinson,2024,1.54,1.82,1,1.1,0.02,0.53,0.28,WR
David Moore,2025,1.53,2.03,1,1.1,0.56,0.3,0.5,WR
Donovan Peoples-Jones,2024,1.53,2.12,1,2.1,0.12,0.75,0.59,WR
Tim Patrick,2024,1.53,8.32,1,2.1,0.0,5.07,6.79,WR
Zach Pascal,2025,1.53,1.8,1,1.1,0.09,0.25,0.27,WR
JuJu Smith-Schuster,2025,1.53,2.22,1,1.2,1.2,0.31,0.69,WR
DeAndre Carter,2025,1.53,1.14,1,1.0,0.77,-0.03,-0.39,WR
Miles Boykin,2024,1.52,1.24,1,1.1,0.12,0.03,-0.28,WR
Quez Watkins,2024,1.52,2.28,1,1.7,0.17,0.4,0.76,WR
Laviska Shenault,2024,1.52,3.41,1,1.9,1.15,1.6,1.89,WR
Marquez Callaway,2023,1.52,1.63,1,1.3,0.3,0.14,0.11,WR
Van Jefferson,2024,1.52,2.05,1,1.0,0.17,0.61,0.53,WR
Scott Miller,2024,1.52,2.31,1,1.3,0.0,0.5,0.79,WR
Parris Campbell,2024,1.52,2.33,1,1.1,0.42,0.63,0.81,WR
Deonte Harty,2024,1.52,2.71,1,1.2,1.15,0.91,1.19,WR
David Moore,2024,1.52,1.44,1,1.2,0.0,0.19,-0.08,WR
Jalen Guyton,2024,1.52,1.55,1,1.1,0.03,0.34,0.03,WR
KhaDarel Hodge,2024,1.52,1.95,1,1.1,0.17,0.2,0.43,WR
River Cracraft,2024,1.52,1.81,1,1.1,0.0,0.25,0.29,WR
Jalen Reagor,2024,1.52,0.93,1,1.1,0.44,-0.03,-0.59,WR
Olamide Zaccheaus,2024,1.52,2.27,1,1.2,0.38,0.59,0.75,WR
Jesper Horsted,2023,1.5,1.22,1,1.1,0.03,0.01,-0.28,WR
Calvin Austin III,2026,1.5,2.63,1,1.1,0.45,0.32,1.13,WR
Lil'Jordan Humphrey,2026,1.49,1.22,1,1.1,0.09,0.08,-0.27,WR
Jamison Crowder,2024,1.49,1.59,1,1.0,0.0,0.14,0.1,WR
David Moore,2026,1.49,1.14,1,1.1,0.0,0.02,-0.35,WR
David Bell,2024,1.48,1.66,2,1.3,0.0,0.51,0.18,WR
Mike Thomas,2023,1.45,1.14,1,1.1,0.0,0.02,-0.31,WR
Lil'Jordan Humphrey,2023,1.45,0.97,1,1.3,0.0,0.02,-0.48,WR
Keke Coutee,2023,1.45,1.27,1,1.2,0.0,0.01,-0.18,WR
Byron Pringle,2023,1.45,2.33,1,1.1,0.0,0.48,0.88,WR
John Ross,2023,1.45,3.24,1,1.1,0.0,0.9,1.79,WR
Miles Boykin,2023,1.45,1.62,1,1.2,0.0,0.25,0.17,WR
N'Keal Harry,2023,1.45,3.67,1,1.2,0.0,0.86,2.22,WR
Andy Isabella,2023,1.45,1.11,1,1.1,0.0,-0.01,-0.34,WR
River Cracraft,2023,1.45,1.32,1,1.1,0.0,0.04,-0.13,WR
James Washington,2023,1.45,1.63,1,1.3,0.0,0.32,0.18,WR
Tyler Johnson,2025,1.44,2.09,1,1.3,0.37,0.21,0.65,WR
Devin Duvernay,2025,1.44,2.14,1,1.1,0.17,0.46,0.7,WR
Chase Claypool,2024,1.44,3.67,1,1.4,0.02,1.18,2.23,WR
Jalen Reagor,2025,1.44,1.24,1,1.1,0.36,-0.09,-0.2,WR
Dante Pettis,2025,1.44,1.29,1,1.0,0.0,0.02,-0.15,WR
Parris Campbell,2025,1.44,1.31,1,1.1,0.17,0.05,-0.13,WR
Scott Miller,2025,1.44,1.66,1,1.1,0.0,0.05,0.22,WR
JuJu Smith-Schuster,2024,1.43,2.72,1,1.1,0.0,0.53,1.29,WR
Willie Snead,2024,1.43,1.1,1,1.0,0.0,-0.03,-0.33,WR
Laquon Treadwell,2024,1.43,1.1,1,1.0,0.0,-0.1,-0.33,WR
Damiere Byrd,2024,1.43,1.1,1,1.3,0.0,-0.02,-0.33,WR
Phillip Dorsett,2024,1.43,1.14,1,1.2,0.0,-0.02,-0.29,WR
Robbie Chosen,2024,1.43,1.26,1,1.2,0.0,0.07,-0.17,WR
Tyron Johnson,2023,1.43,1.31,2,1.3,0.0,0.05,-0.12,WR
Juwann Winfree,2023,1.43,1.23,2,1.1,0.0,0.03,-0.2,WR
DeVante Parker,2024,1.43,3.1,1,1.2,0.0,1.01,1.67,WR
DeAndre Carter,2024,1.42,1.79,1,1.2,0.45,0.25,0.37,WR
Tutu Atwell,2026,1.4,3.5,1,1.4,1.08,1.37,2.1,WR
D.J. Chark,2025,1.4,2.04,1,1.1,0.04,0.34,0.64,WR
Nick Westbrook-Ikhine,2026,1.4,1.78,1,1.0,0.44,0.25,0.38,WR
Gunner Olszewski,2026,1.4,1.66,1,1.1,0.3,0.14,0.26,WR
Tylan Wallace,2026,1.4,1.96,1,1.2,0.12,0.39,0.56,WR
Greg Dortch,2026,1.4,3.24,1,1.4,1.08,0.95,1.84,WR
Jalen Tolbert,2026,1.4,2.67,1,1.2,1.26,0.81,1.27,WR
Van Jefferson,2026,1.4,2.01,1,1.3,0.53,0.56,0.61,WR
Mecole Hardman,2026,1.38,1.22,1,1.4,0.0,0.01,-0.16,WR
Dezmon Patmon,2023,1.37,0.88,1,1.3,0.01,-0.03,-0.49,WR
D'Wayne Eskridge,2025,1.37,1.18,1,1.1,0.0,0.12,-0.19,WR
Penny Hart,2023,1.35,1.39,1,1.1,0.0,0.02,0.04,WR
Bryan Edwards,2023,1.35,0.75,1,1.3,0.0,-0.04,-0.6,WR
Freddie Swain,2023,1.35,0.99,1,1.3,0.0,0.0,-0.36,WR
Jalen Reagor,2023,1.35,2.45,1,1.0,0.0,0.64,1.1,WR
Tyrie Cleveland,2023,1.35,1.11,1,1.2,0.0,0.05,-0.24,WR
Jason Moore,2023,1.35,1.21,1,1.1,0.0,0.0,-0.14,WR
Nsimba Webster,2023,1.35,1.2,1,1.1,0.0,-0.0,-0.15,WR
Robbie Chosen,2025,1.35,1.03,1,1.1,0.0,-0.04,-0.32,WR
James Proche,2023,1.35,0.9,1,1.1,0.0,0.11,-0.45,WR
Greg Dortch,2023,1.35,4.65,1,1.3,0.0,1.45,3.3,WR
Keith Kirkwood,2023,1.35,1.22,1,1.0,0.0,0.0,-0.13,WR
Mike Strachan,2023,1.34,1.74,2,1.2,0.0,0.42,0.4,WR
Jalen Camp,2023,1.34,1.0,2,1.2,0.0,-0.03,-0.34,WR
Lil'Jordan Humphrey,2025,1.34,2.18,1,1.2,0.02,0.49,0.84,WR
Keith Kirkwood,2024,1.33,1.34,1,1.1,0.0,0.05,0.01,WR
Greg Dortch,2024,1.33,2.26,1,1.2,0.0,0.22,0.93,WR
Equanimeous St. Brown,2024,1.33,2.18,1,1.4,0.0,0.43,0.85,WR
Byron Pringle,2024,1.33,1.29,1,1.1,0.25,0.04,-0.04,WR
Trent Taylor,2024,1.33,1.38,1,1.2,0.0,0.22,0.05,WR
James Proche,2024,1.33,1.23,1,1.2,0.0,0.03,-0.1,WR
Gunner Olszewski,2024,1.33,1.54,1,1.2,0.47,0.21,0.21,WR
Tyler Johnson,2024,1.33,1.37,1,1.1,0.08,0.06,0.04,WR
Lil'Jordan Humphrey,2024,1.33,2.03,1,1.2,0.0,0.21,0.7,WR
Mecole Hardman,2024,1.33,2.53,1,1.4,0.0,1.05,1.2,WR
Terrace Marshall Jr.,2025,1.32,0.79,1,1.2,0.02,-0.09,-0.53,WR
Laviska Shenault,2025,1.31,1.36,1,1.2,0.02,0.05,0.05,WR
Adam Thielen,2026,1.3,1.28,1,1.1,0.0,-0.07,-0.02,WR
K.J. Osborn,2025,1.29,2.05,1,1.1,0.32,0.41,0.76,WR
Steven Sims,2025,1.26,1.23,1,1.1,0.0,0.03,-0.03,WR
Cedrick Wilson Jr.,2025,1.26,2.2,1,1.1,0.34,0.46,0.94,WR
Anthony Miller,2025,1.26,1.34,1,1.0,0.0,-0.03,0.08,WR
River Cracraft,2025,1.26,1.33,1,1.0,0.0,0.01,0.07,WR
Amari Rodgers,2023,1.26,1.08,1,1.3,0.0,0.24,-0.18,WR
Tom Kennedy,2023,1.26,1.39,1,1.1,0.0,0.07,0.13,WR
Dan Chisena,2025,1.26,1.15,1,1.2,0.0,0.06,-0.11,WR
James Proche,2025,1.26,1.16,1,1.0,0.0,0.01,-0.1,WR
Gabriel Davis,2025,1.26,3.08,1,1.4,0.0,1.22,1.82,WR
Juwann Winfree,2025,1.26,1.09,1,1.3,0.0,0.03,-0.17,WR
Trent Taylor,2025,1.26,1.07,1,1.1,0.0,-0.01,-0.19,WR
David Sills,2023,1.26,1.29,1,1.0,0.0,0.01,0.03,WR
Diontae Johnson,2025,1.26,12.45,1,2.1,0.0,7.05,11.19,WR
Trenton Irwin,2025,1.26,1.1,1,1.1,0.0,-0.0,-0.16,WR
Lawrence Cager,2023,1.26,1.35,1,1.2,0.0,0.12,0.09,WR
Simi Fehoko,2023,1.26,1.11,1,1.2,0.0,0.04,-0.15,WR
Jacob Harris,2023,1.26,0.98,1,1.1,0.0,0.01,-0.28,WR
Ihmir Smith-Marsette,2023,1.26,0.72,1,1.3,0.0,-0.02,-0.54,WR
Jauan Jennings,2023,1.26,2.83,1,1.5,0.0,0.82,1.57,WR
Collin Johnson,2025,1.26,1.06,1,1.1,0.0,0.01,-0.2,WR
Collin Johnson,2023,1.26,0.63,1,1.2,0.0,-0.14,-0.63,WR
Deven Thompkins,2025,1.25,1.1,2,1.3,0.0,0.02,-0.15,WR
Britain Covey,2025,1.25,1.53,2,1.0,0.0,-0.02,0.28,WR
Andre Baccellia,2023,1.24,1.08,2,1.1,0.0,-0.01,-0.16,WR
Simi Fehoko,2024,1.24,1.41,1,1.2,0.0,0.13,0.17,WR
D.J. Turner,2023,1.24,1.17,2,1.2,0.0,0.04,-0.07,WR
Lawrence Cager,2024,1.24,1.74,1,1.2,0.0,0.12,0.5,WR
Bennett Skowronek,2024,1.24,1.71,1,1.0,0.0,0.23,0.47,WR
D'Wayne Eskridge,2024,1.24,1.8,1,1.0,0.0,0.34,0.56,WR
Velus Jones Jr.,2025,1.24,1.31,1,1.2,0.0,0.04,0.07,WR
Tom Kennedy,2026,1.24,1.31,1,1.2,0.02,0.06,0.07,WR
Braylon Sanders,2023,1.24,0.75,2,1.2,0.0,-0.03,-0.49,WR
Keelan Doss,2024,1.24,1.21,1,1.1,0.0,0.0,-0.03,WR
Terrace Marshall Jr.,2024,1.24,0.87,1,1.1,0.0,0.12,-0.37,WR
Isaiah Hodgins,2026,1.24,1.56,1,1.2,0.0,0.12,0.32,WR
Malik Taylor,2024,1.24,1.26,1,1.1,0.0,0.0,0.02,WR
Quintez Cephus,2024,1.24,0.91,1,1.1,0.0,-0.08,-0.33,WR
Kadarius Toney,2024,1.24,2.82,1,1.1,0.0,0.69,1.58,WR
Collin Johnson,2024,1.24,1.07,1,1.1,0.0,0.03,-0.17,WR
Montrell Washington,2023,1.24,0.74,2,1.3,0.0,-0.02,-0.5,WR
Erik Ezukanma,2024,1.23,1.03,2,1.2,0.0,0.11,-0.2,WR
Tanner Conner,2026,1.22,1.23,1,1.1,0.0,0.07,0.01,WR
Isaiah Hodgins,2024,1.22,1.73,1,1.1,0.32,0.13,0.51,WR
Malik Turner,2026,1.22,1.25,1,1.2,0.0,0.01,0.03,WR
Velus Jones Jr.,2026,1.22,1.16,1,1.1,0.0,-0.01,-0.06,WR
Tim Jones,2026,1.22,1.55,1,1.1,0.0,0.06,0.33,WR
Josh Ali,2023,1.2,0.78,3,1.6,0.0,-0.01,-0.42,WR
Kristian Wilkerson,2025,1.19,1.38,1,1.1,0.0,0.11,0.19,WR
Brandon Johnson,2025,1.19,1.2,1,1.1,0.0,0.02,0.01,WR
Tyquan Thornton,2025,1.19,1.0,1,1.2,0.0,-0.01,-0.19,WR
Tom Kennedy,2025,1.19,1.11,1,1.3,0.0,0.03,-0.08,WR
Treylon Burks,2025,1.19,1.89,1,1.0,0.0,0.46,0.7,WR
Isaiah Hodgins,2025,1.19,1.11,1,1.1,0.0,0.01,-0.08,WR
Maurice Alexander,2023,1.17,1.22,1,1.1,0.0,0.02,0.05,WR
Austin Trammell,2023,1.17,0.87,1,1.2,0.0,-0.04,-0.3,WR
Xavier Gipson,2025,1.17,1.03,2,1.1,0.0,-0.07,-0.14,WR
Isaiah Hodgins,2023,1.17,1.82,1,1.2,0.0,0.71,0.65,WR
Mason Kinsey,2025,1.17,1.11,2,1.1,0.0,0.1,-0.06,WR
Cody White,2023,1.17,0.8,1,1.3,0.0,-0.03,-0.37,WR
Cade Johnson,2023,1.17,0.84,1,1.2,0.0,-0.04,-0.33,WR
Jalen Brooks,2025,1.17,1.18,2,1.2,0.0,0.06,0.01,WR
Tim Jones,2023,1.17,1.03,1,1.3,0.0,0.1,-0.14,WR
Michael Bandy,2023,1.17,1.01,1,1.3,0.0,-0.03,-0.16,WR
Austin Trammell,2026,1.16,1.0,1,1.1,0.01,-0.03,-0.16,WR
Deven Thompkins,2024,1.16,1.04,1,1.1,0.0,0.05,-0.12,WR
Velus Jones Jr.,2024,1.16,1.6,1,1.0,0.0,0.16,0.44,WR
Austin Trammell,2024,1.16,1.46,1,1.2,0.0,0.06,0.3,WR
Dax Milne,2024,1.16,0.69,1,1.2,0.0,0.11,-0.47,WR
Tim Jones,2024,1.16,1.2,1,1.1,0.0,0.01,0.04,WR
Trishton Jackson,2024,1.16,1.34,1,1.1,0.0,0.01,0.18,WR
Cody Thompson,2024,1.16,1.2,4,1.1,0.0,0.01,0.04,WR
Michael Woods,2024,1.15,0.62,2,1.3,0.0,-0.03,-0.53,WR
Mason Kinsey,2024,1.15,1.32,2,1.3,0.0,0.06,0.17,WR
Jalen Virgil,2024,1.15,1.12,2,1.2,0.0,0.05,-0.03,WR
Cody White,2026,1.14,1.73,1,1.1,0.0,0.13,0.59,WR
Ronnie Bell,2025,1.14,0.88,2,1.2,0.0,-0.03,-0.26,WR
Jonathan Mingo,2026,1.14,2.76,1,1.3,0.0,0.81,1.62,WR
Bo Melton,2026,1.14,1.43,1,1.2,0.0,0.11,0.29,WR
Mason Kinsey,2023,1.12,0.83,2,1.2,0.0,-0.04,-0.29,WR
Dennis Houston,2023,1.12,0.7,2,1.3,0.0,-0.04,-0.42,WR
Cody White,2025,1.11,1.19,1,1.2,0.0,0.05,0.08,WR
Alex Bachman,2025,1.11,1.15,1,1.1,0.0,-0.0,0.04,WR
Austin Trammell,2025,1.11,1.49,1,1.1,0.0,0.07,0.38,WR
Bo Melton,2025,1.11,1.23,1,1.2,0.0,0.02,0.12,WR
Irvin Charles,2025,1.11,1.28,1,1.4,0.0,0.02,0.17,WR
Kendric Pryor,2025,1.11,1.1,1,1.1,0.0,0.01,-0.01,WR
Ramel Keyton,2025,1.1,0.75,2,1.3,0.0,-0.04,-0.35,WR
Ryan Flournoy,2025,1.1,1.1,2,1.2,0.0,0.05,0.0,WR
Isaiah Williams,2025,1.1,0.74,2,1.3,0.0,-0.03,-0.36,WR
Kevin Austin Jr.,2025,1.1,0.89,2,1.2,0.0,-0.05,-0.21,WR
Tyrell Shavers,2025,1.1,1.2,2,1.3,0.01,0.17,0.1,WR
Nikko Remigio,2026,1.08,1.08,1,1.3,0.0,0.05,0.0,WR
Michael Bandy,2026,1.08,1.66,1,1.2,0.01,0.26,0.58,WR
Jason Brownlee,2026,1.08,1.15,1,1.3,0.0,0.01,0.07,WR
Bryce Oliver,2026,1.08,1.23,1,1.1,0.0,-0.09,0.15,WR
Malachi Corley,2026,1.08,0.91,1,1.4,0.0,0.02,-0.17,WR
